Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14
update,exploration_survival,exploration,release,cool,initial,like,future_update,kind,expect,present,never,flaw,honestly,tl_dr
abstract,focus,speak,hardly,plus,last,played_hour,etc,combat,day,continue,hour,restart,horrifically,enjoy
still,amaze,price,combat,appropriate,update,nice,improvement,chance,honest,another,like,release,overprice,time
though,sadly,afterward,indictment,slight,clarify,launch,promise,edit,felt,developer,poor,pool,polygon,politics
exploration,stress,different,enough,mellow,solitary,touch,repetitive,largely,score,would,shape,understand,definitely,multi_tool
new,material,need,even,layer,exploration,disliked,update,planet,hour,thing,spore,fully,day,deliver
result,update,indie,support,first,many,show,foundation_update,developer,gargantuan,profit,content,load,major,sell
af,future_update,foundation,impressive,plenty,improve,alone,lord,inform,decision,craft,inventory,approach,savage,material
great,even,personally,big,expand,enjoy,unless,go,feel_like,quintillion_planet,also,issue,non,time,play
problem,no_man_sky,discover,grab,ambitious,remember,hugely,element,genuinely,argument,suddenly,resource,begin,management,main
aspect,destiny,comment,mean,best,center_universe,far,longer,focus,bad,overreacted,vastly,silence,annoy,good
choose,hour_played,today,thing,ideology,activism,entire,bldr,outline,fantastic,positive,change,everyone,negative,available
fps,add,update,carbon,get_well,look,overall,direction,feature,lack,resource,step,run,heredium,zinc
cough,freighter,wait,thing,grid,door,near,glitching,graphical,mountain,texture,distance,generation,terrain,dragon
discover,shot,chance,worth,give,pool,polygon,politics,political,pointless,point,pocket,plus,poor,plenty
simply,basic,probably,part,visually,beforehand,rather,like,frequently,put,chance,second,mellow,contemplative,please
start,clearly,three,easily,space_station,year,enjoyable,settings,specs,run_fine,incomplete,week,half,follow,hop
first,confidence,hooked,time,no_man_sky,play_no_mans,like_explore,minute,played,new,however,purely,tore,press,somewhere
recommend,impressed,release,early_access,step,finally,huge,long,button,situation,refund,direction,pretty,work,lead
team,player,first,rush,tell,hello_games,no,edge,opinions,mear,no_crash,universe,feel,experienced,bug
perfect,spell,error,edit,recommend,price,point,review,time,played_hour,polygon,politics,political,pointless,pocket
playable,lot,new,improve,improvement,note,fact,personal,give,previously,quite,stuff,seem,big,decision
update,good,one,stage,future,see,bad,improves,beauty,honest,structure,felt,early_access,least,wait
sean,cool,lie,try,feel,harvest,turn,feature,look,stay,order,intend,wise,offer,no_mans
day,though,enjoyable,find,time,perfect,get,crushingly,however,possibly,ever,boring,add,back,launch
running,bugged,port,topic,dollar,none,less,comment,edit,experience,launch,bad,say,add,power
however,period,worth,predictable,absolutely,push,delete,expectation,shot,get_refund,another,mind,able,bad,thing
buy,boring,thing,large,hunt,screenshot,start,mode,foundation_update,reward,play,spew,venom,holy,found
progression,concrete,abstract,meaningful,capability,stark,harrow,beautiful,contemplative,space_exploration,open,multiplayer,sound,tell,disappointed
mistake,relax,certainly,enjoy,review,hype,foundation_update,dangerous,regard,elite,no,yes,still,always,exhaust
fill,survival,gameplay,update,look_forward,would,research,sure,prior,iv,try,no_man_sky,base,go,store
center,towards,journey,suitably,anything,return,stand,impressed,already,even,many,content,new,polygon,politics
first_hour,fun,polygon,politics,political,pointless,point,pocket,plutonium,plus,plenty,pleased,please,player,played_hour
still,new_thing,buggy,combat,hell,content,lovely,destiny,find,hopefully,however,besides,breaker,pose,threat
get,update,hopefully,many,like,think,look,foundation,bad,time,would,base,reason,much,honestly
shoot,no_multiplayer,gathering,material,want,harshly,judged,free,buy,rock,highly,recommend_anyone,price_tag,experience,pace
get,expect,add,require,content,rebalanced,nice,try,load,everything,cell,achievement,technical,greedy,warp
want,mode,expect,god,unlimited,base,others,prof,solitary,time,building,hard,even,build,material
regret,good,respect,alpha,team,great,point,ton,people,go,instead,nothin,excuse,look,opinion
great,foundation_update,opinion,negative,every,comeback,multiplayer,hello_games,addition,anything,survival,like,people,understand,aside
explore,probably,sale,say,update,see,many,planet,galaxy,hate,thought,different,would,no_man_sky,completely
possible,mind,doubt,gotten,rap,decision,update,change,include,continued,stream,build,strong,even,full
niche,enough,update,begin,item,doubt,refund,meant,agree,brings,problem,travel,lot_people,space,seem
foundation_update,recommend,sometimes,good,accept,niche,no_man_sky,grind,happen,hello_games,nice,likely,great,release,nonetheless
promise,actually,unvote,conditional,hop,next,enjoy,freak,work,randomly,fuel,planet,generate,quickly,realize
no,want,see,customize,thing,go,care,appeal,still,put,freighter,doubt,session,kudos,large
rush,give,impressed,definitely,less,fine,way,everything,vast,full_price,illusion,gameplay,market,blown,perception
like,go,universe,start,no_mans,sky,ship,check,explore,wonder,planet,get,update,sense,also
love,mode,survival,update,play,foundation_update,much,take_time,lot_fun,say,release,allow,felt,marketing,suffice
base_building,much,recommend,simple,listen,however,willing,enjoy,care,community,fun,show,deal,frustration,expandable
